# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-31-58 UTC;1026052;3023556;74.66;320248;1434608;3707104;44.98;1920520;875752
salmon;1;2014-05-26 03-31-59 UTC;1044052;3005556;74.22;320248;1425948;3707104;44.98;1911396;866172
salmon;1;2014-05-26 03-32-00 UTC;1041200;3008408;74.29;320260;1429404;3707104;44.98;1911420;869596
salmon;1;2014-05-26 03-32-01 UTC;1040480;3009128;74.31;320276;1430568;3707104;44.98;1911332;870476
salmon;1;2014-05-26 03-32-02 UTC;1044216;3005392;74.21;320280;1426036;3707104;44.98;1911352;866188
salmon;1;2014-05-26 03-32-03 UTC;1044028;3005580;74.22;320284;1426380;3707104;44.98;1911512;866376
salmon;1;2014-05-26 03-32-04 UTC;1037316;3012292;74.38;320304;1432800;3707104;44.98;1911644;872536
salmon;1;2014-05-26 03-32-05 UTC;1044196;3005412;74.21;320304;1425812;3707104;44.98;1911588;865916
salmon;1;2014-05-26 03-32-06 UTC;1040260;3009348;74.31;320304;1430364;3707104;44.98;1911636;870032
salmon;1;2014-05-26 03-32-07 UTC;1038508;3011100;74.36;320312;1428192;3723496;45.18;1915328;868160
salmon;1;2014-05-26 03-32-08 UTC;1024184;3025424;74.71;320312;1430088;3723496;45.18;1927780;870072
salmon;1;2014-05-26 03-32-09 UTC;1019712;3029896;74.82;320316;1434620;3723496;45.18;1928012;874412
salmon;1;2014-05-26 03-32-10 UTC;1019608;3030000;74.82;320320;1435196;3723496;45.18;1927996;874972
salmon;1;2014-05-26 03-32-11 UTC;1019824;3029784;74.82;320320;1434760;3723496;45.18;1928092;874408
salmon;1;2014-05-26 03-32-12 UTC;1020148;3029460;74.81;320336;1433440;3723496;45.18;1928196;873156
salmon;1;2014-05-26 03-32-13 UTC;1021296;3028312;74.78;320336;1432612;3723496;45.18;1928180;872412
salmon;1;2014-05-26 03-32-14 UTC;1021912;3027696;74.77;320340;1431964;3723496;45.18;1928080;871648
salmon;1;2014-05-26 03-32-15 UTC;1019424;3030184;74.83;320352;1433656;3723496;45.18;1928232;873408
salmon;1;2014-05-26 03-32-16 UTC;1023592;3026016;74.72;320352;1429460;3723496;45.18;1928172;869408
salmon;1;2014-05-26 03-32-17 UTC;1023184;3026424;74.73;320360;1429952;3724788;45.19;1928308;869720
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
salmon;1;2014-05-26 03-32-24 UTC;1034288;3015320;74.46;320420;1431864;3707376;44.98;1908944;874324
salmon;1;2014-05-26 03-32-25 UTC;1034300;3015308;74.46;320428;1431572;3707376;44.98;1912124;871056
salmon;1;2014-05-26 03-32-26 UTC;1025868;3023740;74.67;320432;1440384;3707376;44.98;1912288;879488
salmon;1;2014-05-26 03-32-27 UTC;1017532;3032076;74.87;320432;1431700;3723736;45.18;1931960;867508
salmon;1;2014-05-26 03-32-28 UTC;1018008;3031600;74.86;320436;1430612;3723736;45.18;1932220;866552
salmon;1;2014-05-26 03-32-29 UTC;1011932;3037676;75.01;320436;1437888;3723736;45.18;1932364;873364
salmon;1;2014-05-26 03-32-30 UTC;1014428;3035180;74.95;320436;1435532;3723736;45.18;1932416;871332
salmon;1;2014-05-26 03-32-31 UTC;1014504;3035104;74.95;320436;1435048;3723736;45.18;1932300;870996
salmon;1;2014-05-26 03-32-32 UTC;1017836;3031772;74.87;320444;1430692;3723736;45.18;1932376;866672
salmon;1;2014-05-26 03-32-33 UTC;1012860;3036748;74.99;320444;1436688;3723736;45.18;1932352;872820
salmon;1;2014-05-26 03-32-34 UTC;1014844;3034764;74.94;320444;1435020;3723736;45.18;1932308;870588
salmon;1;2014-05-26 03-32-35 UTC;1013852;3035756;74.96;320444;1436160;3723736;45.18;1932328;871584
salmon;1;2014-05-26 03-32-36 UTC;1017448;3032160;74.88;320444;1431896;3723736;45.18;1932388;867652
salmon;1;2014-05-26 03-32-37 UTC;1015588;3034020;74.92;320448;1433684;3723736;45.18;1932416;869408
salmon;1;2014-05-26 03-32-38 UTC;1014164;3035444;74.96;320452;1435188;3723736;45.18;1932488;871144
salmon;1;2014-05-26 03-32-39 UTC;1015404;3034204;74.93;320452;1434068;3723736;45.18;1932408;869708
salmon;1;2014-05-26 03-32-40 UTC;1012792;3036816;74.99;320460;1436444;3723736;45.18;1932488;872152
salmon;1;2014-05-26 03-32-41 UTC;1014232;3035376;74.95;320460;1435480;3723736;45.18;1932532;871124
salmon;1;2014-05-26 03-32-42 UTC;1016064;3033544;74.91;320468;1433224;3723736;45.18;1932460;869036
salmon;1;2014-05-26 03-32-43 UTC;1016084;3033524;74.91;320468;1433060;3725320;45.20;1932920;868828
